tick,phase,neuron,region,activity,previous_activity,modulation,threshold
0,waking,visual.n000,visual,0.0,0.0,0.065300241301737,0.10043967819424987
0,waking,visual.n001,visual,0.0,0.0,0.06007910883882228,0.10532214875595908
0,waking,visual.n002,visual,0.0,0.0,-0.031221345881501345,0.09053873557581055
0,waking,visual.n003,visual,0.0,0.0,0.05829843188042724,0.10003205341136068
0,waking,visual.n004,visual,0.0,0.0,0.065300241301737,0.0980318187382134
0,waking,visual.n005,visual,0.0,0.0,0.06007910883882228,0.10750633004256563
0,waking,visual.n006,visual,0.0,0.0,-0.031221345881501345,0.1091037572452174
0,waking,visual.n007,visual,0.0,0.0,0.05829843188042724,0.10277546362119594
0,waking,visual.n008,visual,0.023524523147941782,0.0,0.065300241301737,0.09948196942212811
0,waking,visual.n009,visual,0.0,0.0,0.06007910883882228,0.1062675624349818
0,waking,visual.n010,visual,0.035011435240748026,0.0,-0.031221345881501345,0.09103337986720793
0,waking,visual.n011,visual,0.0,0.0,0.05829843188042724,0.0974965802699442
0,waking,visual.n012,visual,0.0,0.0,0.065300241301737,0.10113633248416234
0,waking,visual.n013,visual,0.0,0.0,0.06007910883882228,0.0953440071738121
0,waking,visual.n014,visual,0.0,0.0,-0.031221345881501345,0.10111092858510205
0,waking,visual.n015,visual,0.0,0.0,0.05829843188042724,0.10833058451828684
0,waking,visual.n016,visual,0.0,0.0,0.065300241301737,0.10156690385675454
0,waking,visual.n017,visual,0.0,0.0,0.06007910883882228,0.0969600799708389
0,waking,visual.n018,visual,0.0,0.0,-0.031221345881501345,0.1045796896812752
0,waking,visual.n019,visual,0.0,0.0,0.05829843188042724,0.10820082239581733
0,waking,visual.n020,visual,0.0,0.0,0.065300241301737,0.09806025497390164
0,waking,visual.n021,visual,0.0,0.0,0.06007910883882228,0.0978314766560922
0,waking,visual.n022,visual,0.017987148693529516,0.0,-0.031221345881501345,0.09220815567782181
0,waking,visual.n023,visual,0.0,0.0,0.05829843188042724,0.10609871549751076
0,waking,visual.n024,visual,0.0,0.0,0.065300241301737,0.10851918137356605
0,waking,visual.n025,visual,0.014068220514962308,0.0,0.06007910883882228,0.10314902737693471
0,waking,visual.n026,visual,0.0,0.0,-0.031221345881501345,0.10273005410720391
0,waking,visual.n027,visual,0.0,0.0,0.05829843188042724,0.0932681816520352
0,waking,visual.n028,visual,0.0,0.0,0.065300241301737,0.09785539594656942
0,waking,visual.n029,visual,0.0,0.0,0.06007910883882228,0.09890117914637922
0,waking,visual.n030,visual,0.0,0.0,-0.031221345881501345,0.0963648947804601
0,waking,visual.n031,visual,0.0,0.0,0.05829843188042724,0.10489006155401702
0,waking,visual.n032,visual,0.0,0.0,0.065300241301737,0.09657492652004483
0,waking,visual.n033,visual,0.0,0.0,0.06007910883882228,0.10225950871608719
0,waking,visual.n034,visual,0.0,0.0,-0.031221345881501345,0.09606690115240468
0,waking,visual.n035,visual,0.0,0.0,0.05829843188042724,0.10046612724818403
0,waking,visual.n036,visual,0.0,0.0,0.065300241301737,0.1052998289732265
0,waking,visual.n037,visual,0.0,0.0,0.06007910883882228,0.10072506376346542
0,waking,visual.n038,visual,0.0,0.0,-0.031221345881501345,0.10975614354136387
0,waking,visual.n039,visual,0.0,0.0,0.05829843188042724,0.09422497943815618
0,waking,visual.n040,visual,0.0,0.0,0.065300241301737,0.09055128352534972
0,waking,visual.n041,visual,0.0,0.0,0.06007910883882228,0.10986182522475876
0,waking,visual.n042,visual,0.0,0.0,-0.031221345881501345,0.09052316955556886
0,waking,visual.n043,visual,0.0,0.0,0.05829843188042724,0.10298604578225778
0,waking,visual.n044,visual,0.0,0.0,0.065300241301737,0.0911669268814231
0,waking,visual.n045,visual,0.0,0.0,0.06007910883882228,0.0953887001211789
0,waking,visual.n046,visual,0.0,0.0,-0.031221345881501345,0.10950637287149508
0,waking,visual.n047,visual,0.0,0.0,0.05829843188042724,0.0967852336288864
0,waking,visual.n048,visual,0.0,0.0,0.065300241301737,0.10461665076987797
0,waking,visual.n049,visual,0.0,0.0,0.06007910883882228,0.10076760572747229
0,waking,visual.n050,visual,0.0,0.0,-0.031221345881501345,0.09249268431290265
0,waking,visual.n051,visual,0.0,0.0,0.05829843188042724,0.09400613151234707
0,waking,visual.n052,visual,0.0,0.0,0.065300241301737,0.10574477278769477
0,waking,visual.n053,visual,0.0,0.0,0.06007910883882228,0.10056150300762921
0,waking,visual.n054,visual,0.0,0.0,-0.031221345881501345,0.09308298269856706
0,waking,visual.n055,visual,0.0,0.0,0.05829843188042724,0.09634199298816554
0,waking,visual.n056,visual,0.0,0.0,0.065300241301737,0.09814286665109535
0,waking,visual.n057,visual,0.0,0.0,0.06007910883882228,0.1055604440324945
0,waking,visual.n058,visual,0.0,0.0,-0.031221345881501345,0.10500698499409034
0,waking,visual.n059,visual,0.0,0.0,0.05829843188042724,0.09501288987731538
0,waking,visual.n060,visual,0.03657187074204945,0.0,0.065300241301737,0.09985426844311629
0,waking,visual.n061,visual,0.0,0.0,0.06007910883882228,0.09340666950800805
0,waking,visual.n062,visual,0.036116394108495944,0.0,-0.031221345881501345,0.10527231923677918
0,waking,visual.n063,visual,0.0,0.0,0.05829843188042724,0.0961661318515864
0,waking,visual.n064,visual,0.0,0.0,0.065300241301737,0.09287098846379414
0,waking,visual.n065,visual,0.0,0.0,0.06007910883882228,0.1030774470605797
0,waking,visual.n066,visual,0.031572115470989176,0.0,-0.031221345881501345,0.09426461496123678
0,waking,visual.n067,visual,0.04365781224792954,0.0,0.05829843188042724,0.09540477707160941
0,waking,visual.n068,visual,0.029415568396868517,0.0,0.065300241301737,0.0940675534131053
0,waking,visual.n069,visual,0.0,0.0,0.06007910883882228,0.09120168750763327
0,waking,visual.n070,visual,0.0,0.0,-0.031221345881501345,0.09518640006919477
0,waking,visual.n071,visual,0.0,0.0,0.05829843188042724,0.10503958723171117
0,waking,visual.n072,visual,0.0,0.0,0.065300241301737,0.10751680921125362
0,waking,visual.n073,visual,0.0,0.0,0.06007910883882228,0.09759473235478178
0,waking,visual.n074,visual,0.0,0.0,-0.031221345881501345,0.10564121784643028
0,waking,visual.n075,visual,0.0,0.0,0.05829843188042724,0.10292585523245588
0,waking,visual.n076,visual,0.0,0.0,0.065300241301737,0.09455478782733508
0,waking,visual.n077,visual,0.0,0.0,0.06007910883882228,0.10385488819993426
0,waking,visual.n078,visual,0.0,0.0,-0.031221345881501345,0.10715603294574381
0,waking,visual.n079,visual,0.0,0.0,0.05829843188042724,0.10955458248413058
0,waking,visual.n080,visual,0.0,0.0,0.065300241301737,0.09060602266559087
0,waking,visual.n081,visual,0.0,0.0,0.06007910883882228,0.09072002960102399
0,waking,visual.n082,visual,0.0,0.0,-0.031221345881501345,0.09592745391255708
0,waking,visual.n083,visual,0.0,0.0,0.05829843188042724,0.0975684306796439
0,waking,visual.n084,visual,0.0,0.0,0.065300241301737,0.090622310893121
0,waking,visual.n085,visual,0.0,0.0,0.06007910883882228,0.10408190191620215
0,waking,visual.n086,visual,0.0,0.0,-0.031221345881501345,0.10902839395586716
0,waking,visual.n087,visual,0.0,0.0,0.05829843188042724,0.09957399792171318
0,waking,visual.n088,visual,0.0,0.0,0.065300241301737,0.10957097682650724
0,waking,visual.n089,visual,0.0,0.0,0.06007910883882228,0.10037166771109574
0,waking,visual.n090,visual,0.0,0.0,-0.031221345881501345,0.10917614222751855
0,waking,visual.n091,visual,0.0,0.0,0.05829843188042724,0.10485978029086827
0,waking,visual.n092,visual,0.0,0.0,0.065300241301737,0.0909416380045368
0,waking,visual.n093,visual,0.0,0.0,0.06007910883882228,0.09212409776052936
0,waking,visual.n094,visual,0.0,0.0,-0.031221345881501345,0.10288150925942206
0,waking,visual.n095,visual,0.0,0.0,0.05829843188042724,0.09177041581031592
0,waking,visual.n096,visual,0.0,0.0,0.065300241301737,0.10073665570516253
0,waking,visual.n097,visual,0.0,0.0,0.06007910883882228,0.10741108290660953
0,waking,visual.n098,visual,0.0,0.0,-0.031221345881501345,0.1085820451561913
0,waking,visual.n099,visual,0.0,0.0,0.05829843188042724,0.10524027302221042
0,waking,visual.n100,visual,0.0,0.0,0.065300241301737,0.09308284488945504
0,waking,visual.n101,visual,0.0,0.0,0.06007910883882228,0.09589968409367064
0,waking,visual.n102,visual,0.0,0.0,-0.031221345881501345,0.0976217858196411
0,waking,visual.n103,visual,0.0020220235105337047,0.0,0.05829843188042724,0.10525998259705611
0,waking,visual.n104,visual,0.04494709754313711,0.0,0.065300241301737,0.09809582614932999
0,waking,visual.n105,visual,0.0,0.0,0.06007910883882228,0.1066217524158267
0,waking,visual.n106,visual,0.0,0.0,-0.031221345881501345,0.09422034123842993
0,waking,visual.n107,visual,0.0,0.0,0.05829843188042724,0.0941636591315048
0,waking,visual.n108,visual,0.0,0.0,0.065300241301737,0.09397922217257487
0,waking,visual.n109,visual,0.0,0.0,0.06007910883882228,0.09523103160685722
0,waking,visual.n110,visual,0.0,0.0,-0.031221345881501345,0.09091636203740222
0,waking,visual.n111,visual,0.04286976123125861,0.0,0.05829843188042724,0.10257771336158768
0,waking,visual.n112,visual,0.0,0.0,0.065300241301737,0.10622239571555864
0,waking,visual.n113,visual,0.0,0.0,0.06007910883882228,0.10171799922115488
0,waking,visual.n114,visual,0.0,0.0,-0.031221345881501345,0.10142940766253253
0,waking,visual.n115,visual,0.0,0.0,0.05829843188042724,0.09275160215110241
0,waking,visual.n116,visual,0.0,0.0,0.065300241301737,0.09014571352145055
0,waking,visual.n117,visual,0.0,0.0,0.06007910883882228,0.09797821970275271
0,waking,visual.n118,visual,0.0,0.0,-0.031221345881501345,0.10213070928147182
0,waking,visual.n119,visual,0.0,0.0,0.05829843188042724,0.10924194342229612
0,waking,visual.n120,visual,0.0,0.0,0.065300241301737,0.09894470966896451
0,waking,visual.n121,visual,0.0,0.0,0.06007910883882228,0.09622753740879647
0,waking,visual.n122,visual,0.0,0.0,-0.031221345881501345,0.09901940215541781
0,waking,visual.n123,visual,0.0,0.0,0.05829843188042724,0.09535378094748005
0,waking,visual.n124,visual,0.0,0.0,0.065300241301737,0.09064600771033843
0,waking,visual.n125,visual,0.0,0.0,0.06007910883882228,0.0965288122337099
0,waking,visual.n126,visual,0.0,0.0,-0.031221345881501345,0.1015139728752917
0,waking,visual.n127,visual,0.0,0.0,0.05829843188042724,0.09064751844290676
0,waking,visual.n128,visual,0.0,0.0,0.065300241301737,0.09670369543428295
0,waking,visual.n129,visual,0.0,0.0,0.06007910883882228,0.09113469139136125
0,waking,visual.n130,visual,0.0,0.0,-0.031221345881501345,0.10160079029335232
0,waking,visual.n131,visual,0.0,0.0,0.05829843188042724,0.09373681989428317
0,waking,visual.n132,visual,0.0,0.0,0.065300241301737,0.10712898244564939
0,waking,visual.n133,visual,0.0,0.0,0.06007910883882228,0.09917441754966437
0,waking,visual.n134,visual,0.0,0.0,-0.031221345881501345,0.10412177911619494
0,waking,visual.n135,visual,0.0,0.0,0.05829843188042724,0.10761122359868501
0,waking,visual.n136,visual,0.0,0.0,0.065300241301737,0.10411519360080326
0,waking,visual.n137,visual,0.0,0.0,0.06007910883882228,0.10930807267533392
0,waking,visual.n138,visual,0.0,0.0,-0.031221345881501345,0.0920110406108117
0,waking,visual.n139,visual,0.0,0.0,0.05829843188042724,0.10933746845830213
0,waking,visual.n140,visual,0.0,0.0,0.065300241301737,0.10197012804078119
0,waking,visual.n141,visual,0.0,0.0,0.06007910883882228,0.10691078953068296
0,waking,visual.n142,visual,0.0,0.0,-0.031221345881501345,0.09837207779730373
0,waking,visual.n143,visual,0.0,0.0,0.05829843188042724,0.09386585366260847
0,waking,visual.n144,visual,0.0,0.0,0.065300241301737,0.09945353631285214
0,waking,visual.n145,visual,0.0,0.0,0.06007910883882228,0.09281419212468676
0,waking,visual.n146,visual,0.0,0.0,-0.031221345881501345,0.10931087981466221
0,waking,visual.n147,visual,0.0,0.0,0.05829843188042724,0.10596818382700945
