tick,started_ns,completed_ns,elapsed_ms,cycle_interval_ms,deadline_missed,visual_mean,visual_change_mean,audio_mean,audio_change_mean,actuation_allowed,actuation_reason,wire_bytes
0,181173039828500,181173048106100,8.2776,0.0,False,0.007162666666666657,0.007162666666666657,0.14451712566838876,0.14451712566838876,True,allowed,766
1,181173059917600,181173066536400,6.6188,20.0891,False,0.007162666666666658,0.0037305555555555456,0.14456687859605083,0.0005328072400947563,True,allowed,982
2,181173079908900,181173086254600,6.3457,19.9913,False,0.007162666666666657,0.004302574074074068,0.14477031016085654,0.0005095346627024354,True,allowed,939
3,181173100280900,181173107237900,6.957,20.372,False,0.007162666666666658,0.004277703703703696,0.14456549571048258,0.0005354151355094409,True,allowed,1021
4,181173120311700,181173127043800,6.7321,20.0308,False,0.007162666666666658,0.004203092592592588,0.1445149420112324,0.0005229503342717075,True,allowed,1015
5,181173140278100,181173146809500,6.5314,19.9664,False,0.007162666666666658,0.0037305555555555456,0.14451712566838876,1.602356698395674e-05,True,allowed,1015
6,181173160282200,181173166893700,6.6115,20.0041,False,0.007162666666666657,0.004352314814814812,0.14456687859605086,0.0005328072400947586,True,allowed,977
7,181173180285800,181173186809700,6.5239,20.0036,False,0.007162666666666658,0.004053870370370361,0.14477031016085654,0.0005095346627024331,True,allowed,1036
8,181173200314000,181173206622300,6.3083,20.0282,False,0.007162666666666658,0.004252833333333327,0.14456549571048258,0.000535415135509434,True,allowed,1020
9,181173220440600,181173227126300,6.6857,20.1266,False,0.007162666666666658,0.003854907407407398,0.1445149420112324,0.0005229503342717145,True,allowed,1052
10,181173240392800,181173246863900,6.4711,19.9522,False,0.007162666666666657,0.004402055555555554,0.14451712566838876,1.602356698395674e-05,True,allowed,939
11,181173259898400,181173266487200,6.5888,19.5056,False,0.007162666666666658,0.0037305555555555456,0.14456687859605086,0.000532807240094754,True,allowed,1017
12,181173279896300,181173286356200,6.4599,19.9979,False,0.007162666666666657,0.004302574074074068,0.14477031016085654,0.0005095346627024378,True,allowed,955
13,181173299977000,181173306727000,6.75,20.0807,False,0.007162666666666658,0.004277703703703696,0.14456549571048252,0.0005354151355094826,True,allowed,1046
14,181173320015200,181173327157700,7.1425,20.0382,False,0.007162666666666658,0.004203092592592588,0.1445149420112324,0.0005229503342716659,True,allowed,1019
15,181173340280000,181173346760200,6.4802,20.2648,False,0.007162666666666658,0.0037305555555555456,0.14451712566838876,1.602356698395674e-05,True,allowed,1027
16,181173360018600,181173366530100,6.5115,19.7386,False,0.007162666666666657,0.004352314814814812,0.14456687859605089,0.0005328072400947852,True,allowed,975
17,181173380210500,181173386634500,6.424,20.1919,False,0.007162666666666658,0.004053870370370361,0.14477031016085654,0.0005095346627024066,True,allowed,1047
18,181173400308200,181173406740000,6.4318,20.0977,False,0.007162666666666658,0.004252833333333327,0.14456549571048252,0.0005354151355094722,True,allowed,1028
19,181173419949400,181173426555200,6.6058,19.6412,False,0.007162666666666658,0.003854907407407398,0.1445149420112324,0.0005229503342716763,True,allowed,1061
20,181173440205500,181173446962300,6.7568,20.2561,False,0.007162666666666657,0.004402055555555554,0.14451712566838876,1.602356698395674e-05,True,allowed,941
21,181173460168300,181173466718000,6.5497,19.9628,False,0.007162666666666658,0.0037305555555555456,0.14456687859605086,0.0005328072400947655,True,allowed,1007
22,181173480366000,181173486962100,6.5961,20.1977,False,0.007162666666666657,0.004302574074074068,0.14477031016085654,0.0005095346627024262,True,allowed,956
23,181173500355200,181173506891800,6.5366,19.9892,False,0.007162666666666658,0.004277703703703696,0.14456549571048255,0.0005354151355094617,True,allowed,1044
24,181173520410200,181173526942800,6.5326,20.055,False,0.007162666666666658,0.004203092592592588,0.1445149420112324,0.0005229503342716867,True,allowed,1027
25,181173540359400,181173546939600,6.5802,19.9492,False,0.007162666666666658,0.0037305555555555456,0.09404207218717307,0.15775326108149154,True,allowed,1015
26,181173560352600,181173566674900,6.3223,19.9932,False,0.007162666666666657,0.004352314814814812,0.0948687429296427,0.0009261570410730386,True,allowed,986
27,181173579887400,181173586577700,6.6903,19.5348,False,0.007162666666666658,0.004053870370370361,0.09335624045303413,0.0017316583294028334,True,allowed,1044
28,181173599962100,181173606468100,6.506,20.0747,False,0.007162666666666658,0.004252833333333327,0.09492119844649095,0.0017850471024821613,True,allowed,1038
29,181173620037900,181173626678100,6.6402,20.0758,False,0.007162666666666658,0.003854907407407398,0.09394813391166323,0.0010912492312607758,True,allowed,1083
30,181173640247800,181173646948000,6.7002,20.2099,False,0.007162666666666657,0.004402055555555554,0.09404207218717585,0.00011170341711490881,True,allowed,957
31,181173660236300,181173666756200,6.5199,19.9885,False,0.007162666666666658,0.0037305555555555456,0.09486874292964294,0.0009261570410667914,True,allowed,1015
32,181173680165800,181173686831900,6.6661,19.9295,False,0.007162666666666657,0.004302574074074068,0.09335624045303414,0.001731658329403071,True,allowed,964
33,181173700380600,181173706960300,6.5797,20.2148,False,0.007162666666666658,0.004277703703703696,0.09492119844649129,0.001785047102482478,True,allowed,1048
34,181173719934300,181173726918900,6.9846,19.5537,False,0.007162666666666658,0.004203092592592588,0.09394813391166351,0.0010912492312604813,True,allowed,1048
35,181173739937000,181173746578800,6.6418,20.0027,False,0.007162666666666658,0.0037305555555555456,0.0940420721871756,0.00011170341711368694,True,allowed,1047
36,181173760163000,181173766902600,6.7396,20.226,False,0.007162666666666657,0.004352314814814812,0.09486874292964237,0.0009261570410667566,True,allowed,993
37,181173779973600,181173786416600,6.443,19.8106,False,0.007162666666666658,0.004053870370370361,0.09335624045303414,0.0017316583294024182,True,allowed,1051
38,181173800000300,181173806594700,6.5944,20.0267,False,0.007162666666666658,0.004252833333333327,0.09492119844649022,0.0017850471024813076,True,allowed,1032
39,181173820062300,181173826672100,6.6098,20.062,False,0.007162666666666658,0.003854907407407398,0.09394813391166217,0.0010912492312623121,True,allowed,1088
40,181173840042300,181173846852100,6.8098,19.98,False,0.007162666666666657,0.004402055555555554,0.09404207218717532,0.00011170341711604985,True,allowed,960
41,181173860239500,181173866912300,6.6728,20.1972,False,0.007162666666666658,0.0037305555555555456,0.09486874292964204,0.0009261570410670655,True,allowed,1019
42,181173880160400,181173886660300,6.4999,19.9209,False,0.007162666666666657,0.004302574074074068,0.09335624045303416,0.0017316583294020808,True,allowed,966
43,181173900260600,181173907696700,7.4361,20.1002,False,0.007162666666666658,0.004277703703703696,0.09492119844649162,0.0017850471024828108,True,allowed,1044
44,181173920223500,181173926837700,6.6142,19.9629,False,0.007162666666666658,0.004203092592592588,0.09394813391166246,0.001091249231263232,True,allowed,1043
45,181173940156600,181173946879800,6.7232,19.9331,False,0.007162666666666658,0.0037305555555555456,0.09404207218717507,0.00011170341711482191,True,allowed,1030
46,181173960142300,181173966667800,6.5255,19.9857,False,0.007162666666666657,0.004352314814814812,0.09486874292964227,0.0009261570410679223,True,allowed,996
47,181173980152400,181173986747900,6.5955,20.0101,False,0.007162666666666658,0.004053870370370361,0.09335624045303419,0.0017316583294023002,True,allowed,1052
48,181174000255700,181174006684000,6.4283,20.1033,False,0.007162666666666658,0.004252833333333327,0.09492119844649137,0.001785047102482517,True,allowed,1036
49,181174020332500,181174027269500,6.937,20.0768,False,0.007162666666666658,0.003854907407407398,0.09394813391166273,0.0010912492312623403,True,allowed,1080
50,181174040273300,181174046747100,6.4738,19.9408,False,0.007162666666666657,0.004402055555555554,0.14451712566838876,0.15784977212772952,True,allowed,943
51,181174059891800,181174066428900,6.5371,19.6185,False,0.007162666666666658,0.0037305555555555456,0.14456687859605064,0.0005328072400946314,True,allowed,996
52,181174079915200,181174086410200,6.495,20.0234,False,0.007162666666666657,0.014325333333333317,0.14477031016085654,0.0005095346627025523,True,allowed,935
53,181174100304300,181174106833100,6.5288,20.3891,False,0.007162666666666658,0.0037305555555555456,0.14456549571048258,0.0005354151355094456,True,allowed,1011
54,181174120458700,181174127113500,6.6548,20.1544,False,0.007162666666666657,0.004302574074074068,0.1445149420112324,0.0005229503342716948,True,allowed,919
55,181174140072500,181174146522800,6.4503,19.6138,False,0.007162666666666658,0.004277703703703696,0.14451712566838876,1.602356698395674e-05,True,allowed,1036
56,181174159992100,181174166407600,6.4155,19.9196,False,0.007162666666666658,0.004203092592592588,0.14456687859605086,0.0005328072400947655,True,allowed,1026
