tick,phase,signal,channel,activity
0,waking,visual,0,0.0
0,waking,visual,1,0.0
0,waking,visual,2,0.0
0,waking,visual,3,0.0
0,waking,visual,4,0.0
0,waking,visual,5,0.0
0,waking,visual,6,0.0
0,waking,visual,7,0.0
0,waking,visual,8,0.5333333333333333
0,waking,visual,9,0.0
0,waking,visual,10,0.75
0,waking,visual,11,0.0
0,waking,visual,12,0.0
0,waking,visual,13,0.0
0,waking,visual,14,0.0
0,waking,visual,15,0.0
0,waking,visual,16,0.0
0,waking,visual,17,0.0
0,waking,visual,18,0.0
0,waking,visual,19,0.0
0,waking,visual,20,0.0
0,waking,visual,21,0.0
0,waking,visual,22,0.4033333333333333
0,waking,visual,23,0.0
0,waking,visual,24,0.0
0,waking,visual,25,0.36999999999999994
0,waking,visual,26,0.0
0,waking,visual,27,0.0
0,waking,visual,28,0.0
0,waking,visual,29,0.0
0,waking,visual,30,0.0
0,waking,visual,31,0.0
0,waking,visual,32,0.0
0,waking,visual,33,0.0
0,waking,visual,34,0.0
0,waking,visual,35,0.0
0,waking,visual,36,0.0
0,waking,visual,37,0.0
0,waking,visual,38,0.0
0,waking,visual,39,0.0
0,waking,visual,40,0.0
0,waking,visual,41,0.0
0,waking,visual,42,0.0
0,waking,visual,43,0.0
0,waking,visual,44,0.0
0,waking,visual,45,0.0
0,waking,visual,46,0.0
0,waking,visual,47,0.0
0,waking,visual,48,0.0
0,waking,visual,49,0.0
0,waking,visual,50,0.0
0,waking,visual,51,0.0
0,waking,visual,52,0.0
0,waking,visual,53,0.0
0,waking,visual,54,0.0
0,waking,visual,55,0.0
0,waking,visual,56,0.0
0,waking,visual,57,0.0
0,waking,visual,58,0.0
0,waking,visual,59,0.0
0,waking,visual,60,0.75
0,waking,visual,61,0.1
0,waking,visual,62,0.75
0,waking,visual,63,0.0
0,waking,visual,64,0.0
0,waking,visual,65,0.0
0,waking,visual,66,0.65
0,waking,visual,67,0.95
0,waking,visual,68,0.65
0,waking,visual,69,0.0
0,waking,visual,70,0.0
0,waking,visual,71,0.0
0,waking,visual,72,0.0
0,waking,visual,73,0.0
0,waking,visual,74,0.0
0,waking,visual,75,0.0
0,waking,visual,76,0.0
0,waking,visual,77,0.0
0,waking,visual,78,0.0
0,waking,visual,79,0.0
0,waking,visual,80,0.0
0,waking,visual,81,0.0
0,waking,visual,82,0.0
0,waking,visual,83,0.0
0,waking,visual,84,0.0
0,waking,visual,85,0.0
0,waking,visual,86,0.0
0,waking,visual,87,0.0
0,waking,visual,88,0.0
0,waking,visual,89,0.0
0,waking,visual,90,0.0
0,waking,visual,91,0.0
0,waking,visual,92,0.0
0,waking,visual,93,0.0
0,waking,visual,94,0.0
0,waking,visual,95,0.0
