path,kind,before_tendency,after_tendency,tendency_change,before_stability,after_stability,plastic_trace,weakening_trace,emotion_exposure,waking_participation,sleep_participation,formed
fixed:visual>association:0000,fixed,0.3557296186805166,0.3557296186805166,0.0,0.86,0.86,0.0,0.0,0.0,0.8817088456384519,0.0,True
fixed:visual>association:0001,fixed,0.3129006144208093,0.3129006144208093,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0002,fixed,0.329549229051206,0.329549229051206,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0003,fixed,0.35751800983296833,0.35751800983296833,0.0,0.86,0.86,0.0,0.0,0.0,0.6940044390288492,0.0,True
fixed:visual>association:0004,fixed,0.32314286358328687,0.32314286358328687,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0005,fixed,0.3645674996333726,0.3645674996333726,0.0,0.86,0.86,0.0,0.0,0.0,1.39449868906693,0.0,True
fixed:visual>association:0006,fixed,0.3556594654410542,0.3556594654410542,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0007,fixed,0.3336018880128902,0.3336018880128902,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0008,fixed,0.35957571514105646,0.35957571514105646,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
fixed:visual>association:0009,fixed,0.33194095053096734,0.33194095053096734,0.0,0.86,0.86,0.0,0.0,0.0,0.08808181029192692,0.0,True
fixed:visual>association:0010,fixed,0.3584338183812753,0.3584338183812753,0.0,0.86,0.86,0.0,0.0,0.0,0.2676735369546444,0.0,True
fixed:visual>association:0011,fixed,0.3193110366076205,0.3193110366076205,0.0,0.86,0.86,0.0,0.0,0.0,0.08601268265241518,0.0,True
fixed:visual>association:0012,fixed,0.36571748867909243,0.36571748867909243,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,True
