tick,gate,rms,peak,f0_hz,envelope
0,0.0,0.0,0.0,237.9530278068581,0.0
1,0.0,0.0,0.0,248.73125743859129,0.0
2,0.0,0.0,0.0,255.03221969260397,0.0
3,0.0,0.0,0.0,258.66075183358527,0.0
4,0.0,0.0,0.0,260.73261176371955,0.0
5,0.0,0.0,0.0,261.90995221067914,0.0
6,0.0,0.0,0.0,262.577164963584,0.0
7,0.0,0.0,0.0,262.9547027751099,0.0
8,0.0,0.0,0.0,263.16814499806884,0.0
9,0.0,0.0,0.0,263.2887562254938,0.0
10,0.0,0.0,0.0,263.35689199164534,0.0
11,0.0,0.0,0.0,263.3953772835848,0.0
12,0.0,0.0,0.0,263.4171131100713,0.0
13,0.0,0.0,0.0,263.429388517644,0.0
14,0.0,0.0,0.0,263.4363209154888,0.0
15,1.0,0.07491749509272046,0.3098917007446289,263.4402358467815,0.4713659247035047
16,1.0,0.14353634518087843,0.4088095426559448,263.44244670513336,0.584351209543533
17,1.0,0.162536585742967,0.4190695881843567,263.4436952251073,0.6114406470996511
18,1.0,0.16859917743398722,0.3991842269897461,263.4444002895765,0.6179396596641423
19,1.0,0.18465506948348004,0.4270026683807373,263.4447984530931,0.6195011082270174
20,1.0,0.18221222944073412,0.47126805782318115,263.44502330351236,0.6198775435873257
21,1.0,0.17948840225427948,0.4802001714706421,263.4451502807036,0.6199690174977915
22,1.0,0.19539197526652197,0.48054903745651245,263.44522198705164,0.6199916513040653
23,1.0,0.18580084183229612,0.4596966505050659,263.4452624809345,0.6199974775921886
24,1.0,0.1888342753825009,0.4984433352947235,263.4452853485667,0.6199991009260803
25,0.0,0.1646797491685183,0.442268967628479,263.4452982623339,0.45578705702031197
26,0.0,0.12773916633767768,0.30461689829826355,263.44530555497255,0.33506797193243865
27,0.0,0.10129777301484279,0.24624980986118317,263.44530967325784,0.24632236498526594
28,0.0,0.06661725724635892,0.16243904829025269,263.44531199892816,0.1810817880981137
29,0.0,0.01844490926657774,0.06556418538093567,263.44531331227637,0.133120733810637
30,0.0,2.3777256083918834e-05,0.0003266860148869455,263.4453140539479,0.0978625733510032
31,0.0,0.0,0.0,263.44531447278325,0.07194283706776881
32,0.0,0.0,0.0,263.4453147093072,0.052888163759965884
33,0.0,0.0,0.0,263.4453148428765,0.03888028301227679
34,0.0,0.0,0.0,263.44531491830554,0.02858250881946888
35,0.0,0.0,0.0,263.4453149609017,0.021012187852569232
36,0.0,0.0,0.0,263.44531498495655,0.015446930888408353
37,0.0,0.0,0.0,263.4453149985407,0.011355679643901941
38,0.0,0.0,0.0,263.4453150062119,0.008348031146542926
39,0.0,0.0,0.0,263.445315010544,0.006136983977095064
40,0.0,0.0,0.0,263.4453150129904,0.00451155148728911
41,0.0,0.0,0.0,263.445315014372,0.0033166286401313328
42,0.0,0.0,0.0,263.4453150151521,0.0024381912890789332
43,0.0,0.0,0.0,263.4453150155927,0.0017924155542192349
44,0.0,0.0,0.0,263.4453150158415,0.0013176790243642931
45,0.0,0.0,0.0,263.44531501598203,0.0009686805089157728
46,0.0,0.0,0.0,263.4453150160614,0.0007121172235446476
47,0.0,0.0,0.0,263.4453150161062,0.0005235069100714518
48,0.0,0.0,0.0,263.4453150161315,0.00038485164496990487
49,0.0,0.0,0.0,263.4453150161458,0.0002829204080913212
50,0.0,0.0,0.0,263.4453150161538,0.00020798652769385745
51,0.0,0.0,0.0,263.44531501615836,0.00015289952391198575
52,0.0,0.0,0.0,263.445315016161,0.00011240278239042087
53,0.0,0.0,0.0,263.44531501616245,8.263194786911892e-05
54,0.0,0.0,0.0,263.44531501616325,6.0746172500678974e-05
55,0.0,0.0,0.0,263.4453150161637,4.465703119242701e-05
56,0.0,0.0,0.0,263.445315016164,3.282923602962983e-05
57,0.0,0.0,0.0,263.4453150161641,2.4134133181515945e-05
58,0.0,0.0,0.0,263.4453150161642,1.7742002399856532e-05
59,0.0,0.0,0.0,263.4453150161642,1.304288191289175e-05
60,0.0,0.0,0.0,263.4453150161643,9.588363520625742e-06
61,0.0,0.0,0.0,263.4453150161643,7.048803755004104e-06
62,0.0,0.0,0.0,263.4453150161643,5.181868028853942e-06
63,0.0,0.0,0.0,263.4453150161643,3.8094061349624004e-06
64,0.0,0.0,0.0,263.4453150161643,2.800452466231305e-06
