tick,phase,teaching_active,body_x,body_y,brain_tendency_x,brain_tendency_y,executed_x,executed_y,displacement_x,displacement_y,emotion_0,emotion_1,emotion_2,visual_change,audio_change,prediction_activity,prediction_centroid_x,prediction_centroid_y,memory_context_frames,active_neurons,active_paths,plastic_trace_total,structural_tendency_total,loop_milliseconds
0,waking,True,18.0,51.008,0.0035969190424283313,0.007280596560114513,0.0,0.72,0.0,1.0080000000000027,0.13863965168413592,0.10042416417340203,0.1533148725237083,2.0566666666666666,1.5100361152704556,0.02120364666166436,57.76792185231221,38.85446205667662,0,18,169,0.0,94.84523917150408,2.6271000097040087
1,waking,True,18.190369766136314,52.00749438886451,0.006798545757593945,0.009627589100306425,0.1359784043830804,0.7139245634746474,0.19036976613631396,0.9994943888645054,0.2760571984779039,0.16093051199232264,0.3252108059025721,0.0,0.013561072736773122,0.05258594701792469,57.128681373188364,39.27805446609542,1,25,191,0.00667957637149006,94.84523917150408,2.6768000097945333
2,waking,True,18.5642575993046,52.9816154868241,0.01007287407552775,0.0068219824407157095,0.26706273797734753,0.6958007842568494,0.3738878331682862,0.9741210979595891,0.3620684597187418,0.20308605935701707,0.44298042702867824,0.0,0.013084855791916414,0.08295829547766424,56.52520461953644,39.348634781054635,2,27,207,0.027357770530730883,94.84523917150408,2.581499982625246
3,waking,True,19.10820670442844,53.91392381916027,0.01118712845636569,0.0012429010717006535,0.38853507508845786,0.6659345230972653,0.5439491051238399,0.93230833233617,0.4241772254742344,0.23438228646717724,0.5302466602497348,0.8066666666666666,0.01327588670163879,0.10887126741825687,55.93242232518105,40.121183413308934,3,29,239,0.0688144878039889,94.84523917150408,2.827799995429814
4,waking,True,19.787163542190264,54.7691908023044,0.010564925984813225,-0.0044972011628945435,0.484969169829874,0.6109049879600943,0.6789568377618238,0.8552669831441335,0.46471301316284114,0.2581908273565217,0.5959595237465038,0.0,0.013482497749531683,0.13063199007153506,55.49348541331671,40.979201235146306,4,29,262,0.1379310573761464,94.84523917150408,2.595999976620078
5,waking,True,20.567593821713604,55.5329922024099,0.00866286975444645,-0.008710381908515221,0.5574501996595301,0.5455724286467839,0.7804302795233404,0.7638014001054998,0.4935973016537997,0.2758943564335125,0.645760039347592,0.0,0.013909823198208576,0.1499703238367391,55.356753929635005,41.89246097094049,5,27,268,0.23684374710540487,94.84523917150408,2.751799998804927
6,waking,True,21.42763699041306,56.20588873827065,0.005866055761628103,-0.011826598281578622,0.6143165490710404,0.48064038275767884,0.8600431686994554,0.672896535860751,0.5135294509515772,0.2886168174479416,0.6827710101813426,0.0,0.014669833563906366,0.1666134797679966,55.35017847767874,42.70461877470055,6,30,268,0.36569960315395866,94.84523917150408,2.8357999981381
7,waking,True,22.350743946889736,56.78927330003447,0.002511607632766843,-0.013968270908737531,0.6593621117690555,0.4167032584027293,0.9231069564766763,0.5833845617638218,0.527502735030559,0.29781371568039194,0.710367627411077,0.0,0.01633269968784843,0.18032475606313694,55.36651393597536,43.36091942712694,7,30,268,0.5199279772675455,94.84523917150408,2.7421000122558326
8,waking,True,23.324765561936566,57.282979582576594,-0.0010865658897309637,-0.015149400335070095,0.695729725033451,0.3526473446729448,0.9740216150468299,0.4937062825421208,0.5371832096021666,0.3044179389430046,0.7305079716621546,0.0,0.017741088635704547,0.1913243354354282,55.37566030550936,43.873233444785335,8,29,268,0.6908904046668476,94.84523917150408,2.8756999818142503
9,waking,True,24.323014980525972,57.67625248035929,-0.004626222539897971,-0.01536678591486205,0.7130352989924338,0.28090921270192576,0.9982494185894062,0.39327289778269403,0.543485523205783,0.30902490631777046,0.7443114560341145,0.0,0.018934975106261707,0.2000093713225543,55.37292719101291,44.2672926048729,9,30,268,0.8673794027494992,94.84523917150408,2.7823999989777803
10,waking,True,25.276885468914887,57.945891299612875,-0.007810572667643343,-0.01464337934153804,0.6813360631349384,0.1925991566097029,0.9538704883889153,0.26963881925358635,0.5446245991047998,0.31089710611454957,0.7499921275289804,0.0,0.019603528240668078,0.20680721438579067,55.361486225504066,44.56734188042561,10,29,268,1.0363158775047103,94.84523917150408,2.7740999939851463
11,waking,True,26.152045769028064,58.08734555830638,-0.010352648849066885,-0.011659615284320317,0.6251145000808411,0.10103875620965029,0.8751603001131762,0.14145425869350703,0.5426651172916857,0.3103226220976141,0.7483151051986462,0.0,0.018932244529641575,0.21209981453248591,55.34804010244977,44.79050315366117,11,29,268,1.1847688564045609,94.84523917150408,2.792300016153604
12,waking,True,26.916997522874432,58.098228044301116,-0.01148377884555986,-0.006794653802333441,0.5463941098902637,0.007773204281952522,0.7649517538463684,0.010882485994734736,0.5380834189657459,0.30877885486982704,0.743577446596281,0.0,0.017494080354604487,0.21622226547724402,55.339057371038535,44.94970670858442,12,29,268,1.307334947712497,94.84523917150408,2.9584000003524125
13,waking,True,27.544208946636292,57.97835510245013,-0.010436349831031009,-0.0010214157895903847,0.4480081598298993,-0.0856235298935608,0.6272114237618602,-0.11987294185098563,0.532052302175053,0.3062357756858931,0.7358369252104089,1.5,0.015333978488245421,0.21924880829096502,55.32844471629773,45.85096939623386,12,35,282,1.4191163005162568,94.84523917150408,2.8931999986525625
14,waking,True,28.01110574168608,57.729749734001544,-0.008139455179338829,0.004898814457155504,0.3334977107498485,-0.1775752631775605,0.466896795049788,-0.24860536844858672,0.5214351657753882,0.3024569896858603,0.7238776118798285,0.0,0.012537459209694707,0.2220720552816226,55.38140421224216,46.89703546552234,12,35,282,1.5288694702513852,94.84523917150408,2.9390999989118427
15,waking,True,28.300883578127365,57.356607455999445,-0.00520483124542683,0.00954494714075935,0.20698416888663196,-0.2665301985729267,0.2897778364412851,-0.3731422780020992,0.5106048805307095,0.29787825701077253,0.7094771580912057,2.2399999999999998,0.009354456298762644,0.21954526410180242,56.931548984148876,47.231560558788026,12,46,315,1.6312244752026563,94.84523917150408,3.021399985300377
16,waking,True,28.4031129083345,56.86522549684641,-0.002624896746974718,0.012238858118001595,0.07302095014795333,-0.35098711368073876,0.10222933020713398,-0.4913819591530313,0.49621823052604425,0.2926653984825759,0.6923095067255504,0.0,0.009258498042248715,0.21706284771731404,58.93501990614076,47.4262134980174,12,44,325,1.7293313499628378,94.84523917150408,2.9596000094898045
