tick,phase,entity,x,y,velocity_x,velocity_y,visible
0,waking,artificial_body,18.0,50.0,0.0,0.0,True
0,waking,entity_1,68.0,24.0,1.05,0.74,True
0,waking,entity_2,28.0,76.0,0.37,-0.31,True
0,waking,entity_3,82.0,66.0,-0.42,0.27,True
0,waking,entity_4,44.0,18.0,0.25,0.39,True
1,waking,artificial_body,18.0,51.008,0.0,0.0,True
1,waking,entity_1,69.05,24.74,1.05,0.74,True
1,waking,entity_2,28.37,75.69,0.37,-0.31,True
1,waking,entity_3,81.58,66.27,-0.42,0.27,True
1,waking,entity_4,44.25,18.39,0.25,0.39,True
2,waking,artificial_body,18.190369766136314,52.00749438886451,0.0,0.0,True
2,waking,entity_1,70.1,25.479999999999997,1.05,0.74,True
2,waking,entity_2,28.740000000000002,75.38,0.37,-0.31,True
2,waking,entity_3,81.16,66.53999999999999,-0.42,0.27,True
2,waking,entity_4,44.5,18.78,0.25,0.39,True
3,waking,artificial_body,18.5642575993046,52.9816154868241,0.0,0.0,True
3,waking,entity_1,71.14999999999999,26.219999999999995,1.05,0.74,True
3,waking,entity_2,29.110000000000003,75.07,0.37,-0.31,True
3,waking,entity_3,80.74,66.80999999999999,-0.42,0.27,True
3,waking,entity_4,44.75,19.17,0.25,0.39,True
4,waking,artificial_body,19.10820670442844,53.91392381916027,0.0,0.0,True
4,waking,entity_1,72.19999999999999,26.959999999999994,1.05,0.74,True
4,waking,entity_2,29.480000000000004,74.75999999999999,0.37,-0.31,True
4,waking,entity_3,80.32,67.07999999999998,-0.42,0.27,True
4,waking,entity_4,45.0,19.560000000000002,0.25,0.39,True
5,waking,artificial_body,19.787163542190264,54.7691908023044,0.0,0.0,True
5,waking,entity_1,73.24999999999999,27.699999999999992,1.05,0.74,True
5,waking,entity_2,29.850000000000005,74.44999999999999,0.37,-0.31,True
5,waking,entity_3,79.89999999999999,67.34999999999998,-0.42,0.27,True
5,waking,entity_4,45.25,19.950000000000003,0.25,0.39,True
6,waking,artificial_body,20.567593821713604,55.5329922024099,0.0,0.0,True
6,waking,entity_1,74.29999999999998,28.43999999999999,1.05,0.74,True
6,waking,entity_2,30.220000000000006,74.13999999999999,0.37,-0.31,True
6,waking,entity_3,79.47999999999999,67.61999999999998,-0.42,0.27,True
6,waking,entity_4,45.5,20.340000000000003,0.25,0.39,True
7,waking,artificial_body,21.42763699041306,56.20588873827065,0.0,0.0,True
7,waking,entity_1,75.34999999999998,29.17999999999999,1.05,0.74,True
7,waking,entity_2,30.590000000000007,73.82999999999998,0.37,-0.31,True
7,waking,entity_3,79.05999999999999,67.88999999999997,-0.42,0.27,True
7,waking,entity_4,45.75,20.730000000000004,0.25,0.39,True
8,waking,artificial_body,22.350743946889736,56.78927330003447,0.0,0.0,True
8,waking,entity_1,76.39999999999998,29.919999999999987,1.05,0.74,True
8,waking,entity_2,30.960000000000008,73.51999999999998,0.37,-0.31,True
8,waking,entity_3,78.63999999999999,68.15999999999997,-0.42,0.27,True
8,waking,entity_4,46.0,21.120000000000005,0.25,0.39,True
9,waking,artificial_body,23.324765561936566,57.282979582576594,0.0,0.0,True
9,waking,entity_1,77.44999999999997,30.659999999999986,1.05,0.74,True
9,waking,entity_2,31.33000000000001,73.20999999999998,0.37,-0.31,True
9,waking,entity_3,78.21999999999998,68.42999999999996,-0.42,0.27,True
9,waking,entity_4,46.25,21.510000000000005,0.25,0.39,True
10,waking,artificial_body,24.323014980525972,57.67625248035929,0.0,0.0,True
10,waking,entity_1,78.49999999999997,31.399999999999984,1.05,0.74,True
10,waking,entity_2,31.70000000000001,72.89999999999998,0.37,-0.31,True
10,waking,entity_3,77.79999999999998,68.69999999999996,-0.42,0.27,True
10,waking,entity_4,46.5,21.900000000000006,0.25,0.39,True
11,waking,artificial_body,25.276885468914887,57.945891299612875,0.0,0.0,True
11,waking,entity_1,79.54999999999997,32.139999999999986,1.05,0.74,True
11,waking,entity_2,32.07000000000001,72.58999999999997,0.37,-0.31,True
11,waking,entity_3,77.37999999999998,68.96999999999996,-0.42,0.27,True
11,waking,entity_4,46.75,22.290000000000006,0.25,0.39,True
12,waking,artificial_body,26.152045769028064,58.08734555830638,0.0,0.0,True
12,waking,entity_1,80.59999999999997,32.87999999999999,1.05,0.74,True
12,waking,entity_2,32.440000000000005,72.27999999999997,0.37,-0.31,True
12,waking,entity_3,76.95999999999998,69.23999999999995,-0.42,0.27,True
12,waking,entity_4,47.0,22.680000000000007,0.25,0.39,True
13,waking,artificial_body,26.916997522874432,58.098228044301116,0.0,0.0,True
13,waking,entity_1,81.64999999999996,33.61999999999999,1.05,0.74,True
13,waking,entity_2,32.81,71.96999999999997,0.37,-0.31,True
13,waking,entity_3,76.53999999999998,69.50999999999995,-0.42,0.27,True
13,waking,entity_4,47.25,23.070000000000007,0.25,0.39,True
14,waking,artificial_body,27.544208946636292,57.97835510245013,0.0,0.0,True
14,waking,entity_1,82.69999999999996,34.35999999999999,1.05,0.74,True
14,waking,entity_2,33.18,71.65999999999997,0.37,-0.31,True
14,waking,entity_3,76.11999999999998,69.77999999999994,-0.42,0.27,True
14,waking,entity_4,47.5,23.460000000000008,0.25,0.39,True
15,waking,artificial_body,28.01110574168608,57.729749734001544,0.0,0.0,True
15,waking,entity_1,83.74999999999996,35.099999999999994,1.05,0.74,True
15,waking,entity_2,33.55,71.34999999999997,0.37,-0.31,True
15,waking,entity_3,75.69999999999997,70.04999999999994,-0.42,0.27,True
15,waking,entity_4,47.75,23.85000000000001,0.25,0.39,True
16,waking,artificial_body,28.300883578127365,57.356607455999445,0.0,0.0,True
16,waking,entity_1,84.79999999999995,35.839999999999996,1.05,0.74,True
16,waking,entity_2,33.919999999999995,71.03999999999996,0.37,-0.31,True
16,waking,entity_3,75.27999999999997,70.31999999999994,-0.42,0.27,True
16,waking,entity_4,48.0,24.24000000000001,0.25,0.39,True
17,waking,artificial_body,28.4031129083345,56.86522549684641,0.0,0.0,True
17,waking,entity_1,85.84999999999995,36.58,1.05,0.74,True
17,waking,entity_2,34.28999999999999,70.72999999999996,0.37,-0.31,True
17,waking,entity_3,74.85999999999997,70.58999999999993,-0.42,0.27,True
17,waking,entity_4,48.25,24.63000000000001,0.25,0.39,True
18,waking,artificial_body,28.31411434232643,56.26389652293838,0.0,0.0,True
18,waking,entity_1,86.89999999999995,37.32,1.05,0.74,True
18,waking,entity_2,34.65999999999999,70.41999999999996,0.37,-0.31,True
18,waking,entity_3,74.43999999999997,70.85999999999993,-0.42,0.27,True
18,waking,entity_4,48.5,25.02000000000001,0.25,0.39,True
19,waking,artificial_body,28.03709107464072,55.56276868986377,0.0,0.0,True
19,waking,entity_1,87.94999999999995,38.06,1.05,0.74,True
19,waking,entity_2,35.02999999999999,70.10999999999996,0.37,-0.31,True
19,waking,entity_3,74.01999999999997,71.12999999999992,-0.42,0.27,True
19,waking,entity_4,48.75,25.41000000000001,0.25,0.39,True
20,waking,artificial_body,27.582013596462005,54.773674379972604,0.0,0.0,True
20,waking,entity_1,88.99999999999994,38.800000000000004,1.05,0.74,True
20,waking,entity_2,35.399999999999984,69.79999999999995,0.37,-0.31,True
20,waking,entity_3,73.59999999999997,71.39999999999992,-0.42,0.27,True
20,waking,entity_4,49.0,25.80000000000001,0.25,0.39,True
21,waking,artificial_body,26.965260842391743,53.90993051657671,0.0,0.0,True
21,waking,entity_1,90.04999999999994,39.540000000000006,1.05,0.74,True
21,waking,entity_2,35.76999999999998,69.48999999999995,0.37,-0.31,True
21,waking,entity_3,73.17999999999996,71.66999999999992,-0.42,0.27,True
21,waking,entity_4,49.25,26.190000000000012,0.25,0.39,True
22,waking,artificial_body,26.273556921378926,53.06493957836761,0.0,0.0,True
22,waking,entity_1,91.09999999999994,40.28000000000001,1.05,0.74,True
22,waking,entity_2,36.13999999999998,69.17999999999995,0.37,-0.31,True
22,waking,entity_3,72.75999999999996,71.93999999999991,-0.42,0.27,True
22,waking,entity_4,49.5,26.580000000000013,0.25,0.39,True
23,waking,artificial_body,25.544430439519452,52.252019795454665,0.0,0.0,True
23,waking,entity_1,92.14999999999993,41.02000000000001,1.05,0.74,True
23,waking,entity_2,36.50999999999998,68.86999999999995,0.37,-0.31,True
23,waking,entity_3,72.33999999999996,72.20999999999991,-0.42,0.27,True
23,waking,entity_4,49.75,26.970000000000013,0.25,0.39,True
24,waking,artificial_body,24.79111884498977,51.46145946154766,0.0,0.0,True
24,waking,entity_1,93.19999999999993,41.76000000000001,1.05,0.74,True
24,waking,entity_2,36.879999999999974,68.55999999999995,0.37,-0.31,True
24,waking,entity_3,71.91999999999996,72.4799999999999,-0.42,0.27,True
24,waking,entity_4,50.0,27.360000000000014,0.25,0.39,True
25,waking,artificial_body,24.023381018463965,50.684901266869744,0.0,0.0,True
25,waking,entity_1,94.24999999999993,42.500000000000014,1.05,0.74,True
25,waking,entity_2,37.24999999999997,68.24999999999994,0.37,-0.31,True
25,waking,entity_3,71.49999999999996,72.7499999999999,-0.42,0.27,True
25,waking,entity_4,50.25,27.750000000000014,0.25,0.39,True
26,waking,artificial_body,23.249223056547322,49.91474319867785,0.0,0.0,True
26,waking,entity_1,95.29999999999993,43.240000000000016,1.05,0.74,True
26,waking,entity_2,37.61999999999997,67.93999999999994,0.37,-0.31,True
26,waking,entity_3,71.07999999999996,73.0199999999999,-0.42,0.27,True
26,waking,entity_4,50.5,28.140000000000015,0.25,0.39,True
27,waking,artificial_body,22.476073868435172,49.14357244396685,0.0,0.0,True
27,waking,entity_1,96.34999999999992,43.98000000000002,1.05,0.74,True
27,waking,entity_2,37.98999999999997,67.62999999999994,0.37,-0.31,True
27,waking,entity_3,70.65999999999995,73.28999999999989,-0.42,0.27,True
27,waking,entity_4,50.75,28.530000000000015,0.25,0.39,True
28,waking,artificial_body,21.711830157577488,48.36357529627048,0.0,0.0,True
28,waking,entity_1,97.39999999999992,44.72000000000002,1.05,0.74,True
28,waking,entity_2,38.359999999999964,67.31999999999994,0.37,-0.31,True
